metric,base,lora,lora_weight,lora_response,lora_weight_response
negative_precision,0.0,0.45038167938931295,0.4841075794621027,0.8192771084337349,0.7509433962264151
negative_recall,0.0,0.6629213483146067,0.7415730337078652,0.5093632958801498,0.7453183520599251
negative_f1-score,0.0,0.5363636363636364,0.5857988165680473,0.628175519630485,0.7481203007518797
neutral_precision,0.25,0.2843601895734597,0.284037558685446,0.4085603112840467,0.4176829268292683
neutral_recall,0.02608695652173913,0.2608695652173913,0.5260869565217391,0.45652173913043476,0.5956521739130435
neutral_f1-score,0.047244094488188976,0.272108843537415,0.36890243902439024,0.43121149897330596,0.4910394265232975
positive_precision,0.45361990950226244,0.5921052631578947,0.684931506849315,0.7360824742268042,0.819047619047619
positive_recall,0.975669099756691,0.43795620437956206,0.12165450121654502,0.8686131386861314,0.6277372262773723
positive_f1-score,0.6193050193050194,0.5034965034965035,0.2066115702479339,0.796875,0.7107438016528925
macro avg_precision,0.23453996983408745,0.4422823773735558,0.48435888166562124,0.6546399646481952,0.6625579807011008
macro avg_recall,0.3339186854261434,0.45391570597051994,0.46310483048204976,0.6114993912322387,0.6562359174167803
macro avg_f1-score,0.22218303793106944,0.43732299446585166,0.38710427528012387,0.6187540062012636,0.6499678429760233
weighted avg_precision,0.268653945820958,0.4724779902607236,0.5243306294373374,0.6775834322184521,0.6973541094622864
weighted avg_recall,0.44823788546255505,0.4592511013215859,0.4063876651982379,0.6585903083700441,0.6541850220264317
weighted avg_f1-score,0.29229130469894976,0.4545497663653737,0.3592215863118714,0.6546444201599118,0.6660824789432259
